;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;FGVDADOS - 12/11/2023 11:11:56;;;;;
;;;;;;
LEGENDA;;;;;;
Série;Título;Código;Fonte;Unidade;Fator de escala;Base do No. índice
1;Energia Elétrica, Consumo Industrial Brasil(53778);53778;EPE;GWH;?;--
2;Energia Elétrica, Consumo Industrial Brasil(53778) (Variação Percentual em Relação ao Período Anterior);53778;;;;--
3;Energia Elétrica, Consumo Total Brasil(210873);210873;EPE;GWH;?;--
4;Energia Elétrica, Consumo Total Brasil(210873) (Variação Percentual em Relação ao Período Anterior);210873;;;;--
;;;;;;
06/1985;7617,9;4,29;13512,8;1,9;;
07/1985;7342,9;-3,61;12983;-3,92;;
08/1985;8005,2;9,02;14022,3;8,01;;
09/1985;7886,1;-1,49;13999,2;-0,16;;
10/1985;8001,4;1,46;14201,8;1,45;;
11/1985;8146,9;1,82;14516,6;2,22;;
12/1985;8002,6;-1,77;14251,5;-1,83;;
01/1986;7884,1;-1,48;14477,8;1,59;;
02/1986;7861,8;-0,28;14230;-1,71;;
03/1986;7654,8;-2,63;13734,1;-3,48;;
04/1986;8084,2;5,61;14420,4;5;;
05/1986;8403,2;3,95;14879,1;3,18;;
06/1986;8470,9;0,81;14820,9;-0,39;;
07/1986;8360,3;-1,31;14634,1;-1,26;;
08/1986;8882,6;6,25;15459,6;5,64;;
09/1986;8741,3;-1,59;15261;-1,28;;
10/1986;8726,7;-0,17;15343,9;0,54;;
11/1986;8917,6;2,19;15740,4;2,58;;
12/1986;8496,2;-4,73;15222,7;-3,29;;
01/1987;8536,2;0,47;15874;4,28;;
02/1987;7840,6;-8,15;14493,7;-8,7;;
03/1987;7936,6;1,22;14856,5;2,5;;
04/1987;7693,6;-3,06;14379;-3,21;;
05/1987;8103,1;5,32;14974,1;4,14;;
06/1987;7873,5;-2,83;14356,6;-4,12;;
07/1987;8010,7;1,74;14618,1;1,82;;
08/1987;8390,9;4,75;15266,7;4,44;;
09/1987;8249,1;-1,69;15092,8;-1,14;;
10/1987;8344,1;1,15;15220,7;0,85;;
11/1987;8545,9;2,42;15567,7;2,28;;
12/1987;8193,2;-4,13;15086;-3,09;;
01/1988;8307,1;1,39;15888,1;5,32;;
02/1988;8101,7;-2,47;15247;-4,04;;
03/1988;8181,7;0,99;15276,2;0,19;;
04/1988;8836,5;8;16318,8;6,82;;
